"meaningid","itemname","meaningno","sentenceno","meaning","meaningEn","sentence","sentenceCh","sentenceEn","wordclass"
"376","dara1","1","0","血液","blood","Ini pntena kanna dara knkingal seediq.","人的血型並非全都相同。","People's blood types are not all the same.","名詞"
"85","cmhungi","0","1",,,"Wada ku cmhungi madis parih di.","我忘記帶鋤頭了。","I forgot to bring the hoe.",
"86","dangi","0","1",,,"Dangi mu bale kndalax cbeyo ka heya.","他是我的老朋友。","He is my old friend.","名詞"
"87","dangi","0","2",,,"Dangi na swai mu ga mlukus qalux ga.","那個穿黑衣服的是我弟弟的朋友。","The person in black is my brother's friend.","名詞"
"880","texal","0","1","一次","to be once","Paani isu texal laqi nii Lawa.","Lawa，這小孩(換)你來揹一次。","Lawa, it's your turn to carry the kid for once.","其它"
"925","ini","0","1","不",,"Laqi ga, ini beyo mhedu tmalang.","那個孩子，很快就跑完了。","The kid has finished the running very quickly.","其它"
"253","tmlenga","0","1",,,"Egu klegan camac haan daha tmlenga dgiyaq hiya.","在獵場可陷獵的野獸種類有很多。","There are many species of creatures to be trap-hunted.",
"893","Gluban","0","1","清流部落","the Gluban tribe","Alang Seediq Tgdaya ka Gluban nii; seediq ga meniq alang nii ka knciyuk Tanah Tunux cbeyo.","Gluban是賽德克族德固達雅群的部落；住在該部落的人是以前曾抵抗日本政府的人。","Gluban is the tribe of Seediq Tgdaya whose people used to fight against the Japanese government.","名詞"
"894","skruwa","0","1","像...一樣；當做","to consider","Skruwa ku na laqi na ka Siyac, sgaalu ku na riyung.","Siyac把我當作自己的孩子(對待)，非常疼愛我。","Siyac treats me like his own child; he adores me very much.",
"759","smneeru","0","1","學習；模仿",,"Uka ta patis ka ita Seediq, asi Ka naq rudan ini chungi kari ge, maha mkela smneeru kari so pnsltudan rudan ta.","我們賽德克族沒有文字，一定要記性佳的族老才能傳述我們先祖口傳的話語（歷史文化）。","We Seediq people don't have our own writing system, so only seniors with good memory can pass down the words from our ancestors.",
"887","hridi","0","1","調整",,"Hridi tikuh pila na kesa; ga rmabang egu na heya di.","調整一下它的價錢；它的價格更高了。",,
"855","sppika","0","1","一拐一拐的樣子","staggering","Sppika mkkesa ka Pawan.","Pawa跛著腳走路。","Pawa is walking with a limp.",
"1028","qbhangi","0","1","聽(祈使)","to listen (imperative)","Qbhangi tikuh lingis laqi mu, lmingis de plaani ku denu.","幫忙聽我孩子的哭聲，若哭了就叫我一下。","Mind (listen to) my kid's cry for me; call me if s/he's crying.","動詞"
"118","quyu","0","1",,,"Egu klegan quyu duri.","蛇也有很多種類。","There are many kinds of snakes.","名詞"
"119","quyu","0","2",,,"Meniq quyu mseyang mesa mheyu qmita seediq.","有些蛇很兇，會挺起來盯著人看。","Some snakes are ferocious and will stand up to stare at people.","名詞"
"121","quyu","0","3",,,"Kii bale snuyuk qtaan quyu ga.","那條蛇看起來像繩子。","That snake looks like a rope.","名詞"
"122","qbulic","1","0","火藥","gunpowder","Mbeyax riyung qbulic pnrayan na Ibuq Pawan.","Ibuq Pawan所煮的火藥很強。","The gunpowder made by Ibuq Pawan is very good.","名詞"
"720","nnniqan","0","1","曾經居住",,,,,
"821","qbsuran","0","1","兄長","elder brother","Uka qbsuran rseno daka mqedin ka sapah na Pawan.","Pawan的家裏沒有兄長。","Pawan has no elder brother in his family.","名詞"
"906","tnugiyo","0","1","都","all","Tnugiyo mqedin laqi na Dakis wa; uka laqi rseno.","Dakis的孩子都是女的；(他)沒有男孩。","Dakis's children are all girls; he doesn't have boys.","其它"
"905","tmgeyak","0","1","打嗝","to belch","Ye wada scuqi egu pnuqal na ido ka laqi ga, kika ga ini alix tmgeyak di.","那小孩或許吃了太多米飯，所以在不停的打嗝。","The kid probably has eaten too much rice so that he's belching nonstop.",
"372","sneeru","0","2",,,,,,"動詞"
"133","naqah","0","1",,,"Sgcuqi mimah sino ge naqah ndaan.","喝酒喝太多會有不好的生活。","Life will be bad if one drinks too much.","動詞"
"135","mqedil","0","1",,,"Meepah duri ka mqedin.","女人也工作。","Women work too.","名詞"
"136","mqedil","0","2",,,"Tn-go/Tungiyo mqedin kanna laqi na.","他的孩子都是女生。","His kids are all female.","名詞"
"766","ekan","0","1","吃","to eat","Iya ekan ido. ","不要吃飯。","Don't have the meal.","動詞"
"411","atak","1","0","剪","to cut","Atak tikuh kukuh baga na laqi nii Robo.","Robo把小孩的指甲剪一下。","Robo, cut the child's fingernails.","動詞"
"775","nnniqan","1","0","曾經有過；曾經住過","to have lived","Sapah nii nnniqan na Takun meyah muuyas Hori cbeyo.
","這是以前Takun來到埔里唸書時曾住過的房子。","This is the house where Takun lived when he studied in Hori.",
"736","blebu","0","1","短；低；矮","short","Blebu hari swai na; bbaro hari ka heya.","他的弟弟比較矮；他比較高。","His brother is shorter; he's taller.","動詞"
"151","mlawa","0","1",,,"Plaani kanna laqi ga.","叫那些孩子們過來。","Tell those kids to come here.","名詞"
"153","mlawa","0","2",,,"Plaani meyah tmgesa tminun bubu su.","請邀請你媽媽來教織布。","Please invite your mom to teach weaving.","名詞"
"154","mkela","0","1",,,"Mkela ku tminun.","我會織布。","I know how to weave.",
"751","tmgesa","0","1","教導","to teach","Kntaani ba tmgesa kari Seediq ka laqi su.","你一定要常常教導你的孩子說賽德克語。","You must teach your kids to speak Seediq often.",
"157","mkela","0","2",,,"Mkela su kari Dame Doriq?","你會說美語嗎？","Can you speak English?",
"281","prihuc","0","1","山鹽青",,"Egu timu hei na prihuc nii.","山鹽青的果實富含鹽分。","The fruit of the Roxburgh sumac is abundant in salt.","名詞"
"755","knhenu","0","1","多大；多高；多重...","how big; how tall; how heavy","Muudus ta han ge, ani naq knhenu hntiyan ta na dheran ka rudan ta, uxe ta ddesun mhuqil ka kiya.","我們活著的時候，不管繼承多少父母留給我們的土地，那些土地我們死後是帶不走的。","No matter how many lands we inherit from the parents when we're alive, we can't take them with us after death.",
"191","mtaaguh","0","1","急著...",,"Wada mtaaguh qmita laqi na.","他急著去看(探望)他的孩子。","He's rushing to see his child.",
"192","baki","0","1","祖父；岳父；男性長者","grand father ; male elderly","Seediq paru ma mnanang baki mu Dakis Duya sa.","據說我的祖父(或我的家族長輩)Dakis Duya是個高大壯碩的人。","It's said that my grandpa Dakis Duya is tall and strong in stature.","名詞"
"1036","srriyux","0","1","輪流；替換","to alternate","Srriyux ta han wa, gisu ku mtgiya tunux di.","我們先替換一下，我正在頭暈。","We have to take turns. I am feeling dizzy.",
"200","bhege","0","2","白色",,"Bhege kanna lukus na rseno Seediq.","賽德克族男人的衣服都是白色的。","Clothes for Seediq males are white.","動詞"
"198","baso 1","1","0","男性的名字","male name","Baso ngayan na tama mu rudan.","我祖父的名字叫Baso。","My grandpa's name is Baso.","名詞"
"199","baso 1","2","0","西榖米","sago","Hai tmekan baso ga.","去樁打baso米。","Go pound the sago.","名詞"
"741","egul","0","1","捆綁","to tie","Egun hiya nisu, ulun mu hini ka naku.","你的綁在那兒，我的綁在這兒。","Tie yours over there and mine here.","動詞"
"206","cmehaq1","0","1","舔","lick","Cmehaq baga na mekan seediq ga, ye ado malu riyung ga na puqul.","那個人連手指頭都在舔，他可能在吃很好吃的東西。","That guy is even licking his fingers; he's probably eating something tasty.",
"207","cmehaq1","1","0","交配","to mate","Ga cmehaq tama rudux ga.","這公雞正在交配。","The rooster is mating.",
"208","cmhungi","0","2",,,"Cmhungi riyung pdesan kari ka Iban.","Iban常常忘記交代好的話。","Iban often forgets what's being told.",
"730","uhir","0","1","強求；非要；勉強","to force; to have to","Ye uhir daha ppuuyas yami ka debubu mu ciida ma, uka inu ini daha sai smtuku pila.","當時我媽媽她們為了一定要讓我們唸書，她們就到處去賺錢。","My mom made money everywhere then in order to assure our education.","動詞"
"760","smratuc","0","1","播種祭","sowingfest","Gaya ta ba paru ita Seediq ka Smratuc nii; mphuma ta macu cbeyo ge, asi ta ka spooda Gaya kesun Smratuc.","播種祭是我們賽德克族的重點祭儀；我們以前要播種小米時，一定要透過播種祭儀。","The sowingfest is an important event for the Seediq; the sowingfest was prerequisite required before when we sowed the millet.","名詞"
"217","dungus","0","1","意義","meanings","Maanu dungus na yahun su hini dungan?","你再回到這裡還想做什麼呢？","What is the point of you coming back here again?","名詞"
"220","dungus","1","0","範圍","range","Kii naq dungus na dheran nnisu. Iya mmhemuc sndayak na seediq.","你的土地範圍就到這裡，不要隨便侵占別人的土地。","Your land ranges over here; don't take others' as yours.","名詞"
"757","pnhmaan","0","1","農作物","crops","Eluk kanna tnbugan namu kndalax saya sa; mmaha smeeliq pnhmaan daha denu mesa.","(他們說)從今天起，你們所飼養的家禽家畜都要關著；(不然)牠們會破壞農作物。","From today on, the fowls and livestock you keep should be locked up; or they will damage the crops.","名詞"
"222","dnngusan","0","1","想法； 設計",,"Dnngusan naq mege isu ka rudan su.","這是按照老人家的想法給你的。","This is for you according to the seniors' idea.","名詞"
"223","dnngusan","0","2","想法； 設計",,"Nii naq dnngusan na mege isu; pndungus naq nisu.","這是按照他的想法給你的；你就接受這個份量。","This is what he wants you to take; just accept the share.","名詞"
"224","dngusun","0","1","計畫；目標",,"Kiya naq dngusun su, bleyaq naq so moda.","你確立了目標之後，就好好的達成它。","Once you set up the goal, achieve it steadily.",
"227","dqeras","1","0","面子","face","Thei hari kari rudan, kii si ini seeliq dqeras tnsapah.","遵從老人家的教導，這樣才不會丟家人的面子。","Follow the seniors' instructions so that one won't lose face.","名詞"
"847","urung","1","0","衝撞","to bump","Ye ini urung seediq dapa su nii?","你這頭牛會不會攻擊(衝撞)人？","Does your buffalo attack people?","動詞"
"942","smkeguy","0","1","刮麻；剝麻皮","to peel the ramie","Mkmosa dmayo smkeguy ka swai mu mqedin duri.","我妹妹也很想去幫忙剝苧麻皮。",,
"903","slebi","0","1","向下拉","to pull downward","Slebi cida qhuni kii Pering, paqe mu.","Pering，把那棵樹的枝椏往下拉，我要砍掉。","Pering, pull downward the branches of the tree; I'm cutting them off.","動詞"
"242","pbege","0","1","讓某人給予",,"Mnoda ku pbege tama rodux sapah na pai mu.","我經過祖母的家，她給我一隻公雞。","I passed by my grandma's house and she gave me a rooster.",
"980","qyqeya","1","0","行李","baggage","Gbuli qyqeya namu han, chngiyun namu duma denu.","你們先把行李整理好，不然你們會有所遺漏。","Pack your luggage now in case you miss something.","名詞"
"246","muuyas","1","0","上課；唸書","to study; to have a class","Wada muuyas sapah pyasan laqi mu.","我的孩子去學校上課。","My kid's going to school.","動詞"
"247","pnyasan","0","1",,,"Pnyasan daha uyas cbeyo, malu riyung bhagun duri.","傳統的歌謠也非常好聽。","Traditional songs are melodious too.","動詞"
"248","pyasun","0","1","...唱歌",,"Puyasun na heya uyas kiya.","那首歌是他要唱的。","That song is for him to sing.",
"539","qbulic","1","1","火藥","gunpowder","Madis miyan qbulic mosa lmiqu.","我們帶火藥到獵場去。","Let's bring the gunpowder to the hunting area.","名詞"
"257","sssunguc","0","1","味道向樹豆",,"Gaga su pure sunguc? Ma sssuguc sknexun?","你在煮樹豆嗎？怎麼有樹豆的味道?","Are you cooking Cajanus cajan? Where is that smell of Cajanus cajan from?",
"370","sneeru","0","1",,,,,,"動詞"
"371","sneeru","0","2",,,,,,"動詞"
"1005","pllingun","0","1","釣(魚)","to be fished","Akedu qcurux hini, ini ta adis laling, pllingun ta maanu di?","這裡的魚那麼多，我們沒帶釣竿，我們怎麼釣呢？","There are so many fish here. We don't bring our fiishing rod and how are we going to fish?",
"271","qrasi","0","1","使...高興",,"Qrasi ta kana psuupu mimah sino; wada mangal camac.","他們獵捕到獵物了；讓我們一起高興喝酒吧。","They've caught the creature; let's celebrate with wine.",
"274","mgmqedin","0","1",NULL,NULL,NULL,NULL,NULL,
"1033","lihu","3","0",,,,,,"動詞"
"1034","lihu","4","0",NULL,NULL,NULL,NULL,NULL,"動詞"
"1077","pttingun","0","1","推落；掉落","to be pushed over; to drop","Sapu ga, pttingun na hiya ka qhuni mdengu, qtai hari.","Sapu 會把乾的木材往那裏丟下，要小心。",,
"932","prbangun","0","1","較多",,"Prbangun daha mapa srqemu paanun daha meyah sapah cbeyo.","他們以前揹玉米時都會再多揹一點回家。",,
"1027","qhedu","0","1","完成","to finish","Qhedu han! Kii si uxe ta pseeliq ali kusun.","我們做完它吧！這樣就不會浪費到明天的時間了。","Let us finish it! So we will not waste our time tomorrow.","動詞"
"978","nngani","0","1","為別人拿(祈使)","to take/bring for","Nngani ku ido si tama su.","你爸爸要求幫他盛飯。","Your father asked for a bowl of rice.",
"956","nima","0","2","是誰的",,"Maha namu neepah nima kusun ka yamu?","你們明天要去誰那裡工作？",,
"292","tqilung","0","1","台灣二葉松",,"Nangal daha tqilung kesun harung.","松脂是取自二葉松。","The rosin is taken from the Taiwan pine.","名詞"
"923","akeyan","0","1","那麼","that; being so","Teyan bale si bbeebu su laqi, Pawan?","Pawan，你打小孩怎麼打的那麼兇？","Pawan, why are you beating the kid so hard?","其它"
"813","swai","0","1","弟弟；妹妹","younger siblings","Swai mqedin mu ka heya.","她是我的妹妹。","She's my younger sister.","名詞"
"916","qlqahi","0","1","踩踏(祈使)",,"Seediq cbeyo ge asi daha qahi papak knbegax sunguc; so kiya mahu pacang duri.","我們過去的族人是以腳踩踏的方式剝樹豆；洗大被褥時也一樣。","Our ancestors used to open cajans by stamping; they also used to clean the quilt by stamping.",
"926","ncugil","0","1","有時候","sometimes","Ncugil meyah mita yaku si pai su rudan ga alang Gluban hii, Awi.","Awi，你住在清流部落的阿媽說，有時候去看看她。","Awi, your grandma, who lives in Gluban, ask you to see her sometimes.","動詞"
"749","rqenux","0","1","水鹿","sambar","So hari cida qhuni ka urung na rqenux.","水鹿的角像樹的枝芽。","The antlers of wild deers are like twigs.","名詞"
"930","suupu","0","1","一起","together","Suupu kana mnangal namu gaga.","把你們拿來的東西合起來。","Add together all the stuff you brought.","動詞"
"979","pngali","0","1","看顧(祈使)","to take care of (imperative)","Pngali Uma ga laqi su hayan peni.","你的孩子讓 Uma 看顧嘛。","Let Uma take care of your kid.","動詞"
"929","pledax","0","1","點亮","to light up","Gbuli nhari hari! Pledax karac di.","快點收拾好！天將亮了。","Put away the stuff quickly! The daybreak is coming.",
"907","stgiya","0","1","捲線之用","to pick , to select","Bubu mu rumego: kiya ka stgiya daha.","我母親說:那就是捲線用的。",,
"309","keguy","0","1",,,"Nima keguy nii?","這是誰的苧麻？","Who's ramie is this?","名詞"
"909","mmteru","0","1","六(數詞)","six","Wada mmteru ali qmlahang laqi su ka swai mu mqedil di.","我妹妹已照顧你的小孩六天了。","My sister have been taking your baby for six days.",
"758","quri","0","1",,,"Mnosa ku alang kesun daha Paran, snpahan rudan ta cbeyo ka alang kii, ga quri so qdgiyaq Osan hii, uka sseediq saya di.","我去過他們所說的Paran部落，那是我們先祖的部落遺址，位於Osan山脈一帶，現在已沒人(居住)了。","I've been to the Paran tribe, which they told me about; it used to be our ancestors' tribe, located in the Osan mountain range, with no people living there.","其它"
"395","mdheriq","1","0","乾淨；整齊；滑順","clean; tidy; smooth","Mdheriq qtaan klaali weewa ga.","那個小姐每天都看起來很乾淨整齊。","That lady looks clean and tidy every day.",
"396","ppaun","0","1","送；給",,"Moda ku sapah na ma ppaun kuna macu meyah sapah mu.","我經過他的家，他給我很多小米讓我帶回家。",,
"318","icin","1","0","另一(邊)","the other side","Moda ku hini ka yaku ma wada moda icin so hiya ka heya.","我從這裡過，他從另一邊走。","I went this way, he the other.","其它"
"320","pnhengan","0","1","打破","to break",,,,
"1020","paha","1","0","使去",,"Paha riso nii peni, ini beyo ka riso.","叫年輕人去呀，年輕人較快。",,"動詞"
"323","pnhengan","0","2","打破",,,,,
"363","eyux","1","0","強要","to force","Eyux ku na ba tmulus mosa theyaq sapah na.","他強拉我到他家坐一坐。","He forced me to visit his family for a while.","動詞"
"327","deka","0","1","破成兩塊","to split into halves",,,,"動詞"
"1017","qpahun","0","1","工作","work","Wada qpahun na Iyung kanan ka sudu ssiyo sapah di.","家四周的雜草已被Iyung鋤除了。","Iyung has weeded all around the house.",
"870","qbulic","2","0","灰；灰燼","ash","Netun ta mnarux, meniq ka seediq psapuh mangal qbulic pkmalu hei seediq mnarux.","當人們生病了，治病儀式的施行者會使用灰來治病。","When people are ill, the practitioner of the healing ritual will use ashes to cure the illness.","名詞"
"335","mbeyax","0","1","贏家；強勢",,"Ima wada mbeyax tarancyo hndure?","上回的籃球賽誰贏了呢？","Who won the last basketball game?",
"417","atak","2","0","筷子","chopsticks","Snquri daha btakan duma atak.","有些筷子他們是用竹子削成的。","Some chopsticks are made of bamboo shoots.","名詞"
"938","atak","2","1","筷子","chopstick","Asi ekan baga rudan ta cbeyo, ini salu atak.","我們的祖先是以手用餐的，不削製筷子。","Our ancestors ate with hands instead of chopsticks.","名詞"
"914","tasil","0","1","岩石","rock","Tasin ge btunux paru ka kiya, so ka dheriq tasin qdderiq yayung peni.","Tasin是指大型的石頭，就如河邊滑溜的石壁。","""Tasin"" refers to big stones, like the slippery dike by the river.","名詞"
"343","kretan","1","0","野生菇","wild mushroom","Malu riyung mahun begu na ka kretan, mntena begu rodux.","野生菇的湯很好喝，喝起來像雞湯。","Wild mushroom soup is very tasty; it tastes like chicken soup.","名詞"
"344","thido","0","1","曬太陽；出太陽",,"Nii thido da, hai mhido nganguc lukus pnheyan han.","出太陽了，先把洗過的衣服曬到外面。",,
"1015","hruun","0","1","照","to illuminate","Ga mu hruun harung horoba hii, uka denki.","沒有電，我用油材取火照明浴室。",,
"918","lhengo","0","1","岩洞","cave; grotto","Niqan kingal lhengo dgiyaq ddupun nami mesa rudan.","老人說過在我們傳統的獵場有一個岩洞。","The senior said there's a grotto in our traditional hunting field.","名詞"
"347","huda","0","1",,,"Ga mekan huda ka Tado.","Tado在吃冰。","Tado is eating ice.","名詞"
"393","pngerah","1","0","碗",,"Pngerah bnaruy na bubu mu kanna nii.","這些碗都是我媽媽購置的。","My mother bought all these bowls.","名詞"
"352","bungu","1","0","某種樹種","a certain species of tree","Niqan kingal kesun daha qhuni bungu, malu riyung puqun waso na.","有種稱作bungu的樹種，它的葉子很好吃。","There is a species of tree called ""bungu"". Its leaves are delicious.","名詞"
"355","mangal","1","0","娶","to marry","Ga mangal mqedin mneyah Toda ka Yako.","Yako娶了Toda的小姐。","Yako married a Toda woman.",
"356","baki","0","2","祖父；岳父；男性長者","grand father ; male elderly","Mangal naq baki na ka Dakis nii.","Dakis的長相、個性像他祖父。","Dakis inherited his grandpa's features and personality.","名詞"
"770","maanu","0","1","什麼；幹嘛","what; why","Maanu kesun qbulic daka limik?","子彈和彈殼是什麼?","What are a bullet and a bullet cartridge?","其它"
"381","maha","1","1","大約；約略","about","Maha piya pila?","大概多少錢？","About how much is it?",
"386","mangal","0","1","取拿","to take","Mangal qreti ka Kumu, ma ssebuc na quyu ga berah na.","Kumu 拿起棍子，要打她面前的蛇。","Kumu grabbed a stick and was going to hit the snake in front of her.",
"771","mqedil","0","3",,,"Mqedin ka seediq ga?","那個人是女的嗎?","Is that person a female?","名詞"
"388","cbeyo","0","1","以前","in the past","Mgaya hari seediq cbeyo.","過去的人比較遵守gaya的傳統。","People in the past follow gaya more strictly.","其它"
"389","cbeyo","0","2","以前","in the past","Ini pntena ndaan cbeyo daha ka saya.","以前的生活和現在的生活不一樣。","Life in the past is quite different from that now.","其它"
"397","witi","0","1","催熟",,"Phdagi han blebun ga, muuwic de witi denu.","先曬這香蕉等他軟了之後就可以催熟了。",,"動詞"
"1029","mgDakis","0","1","像 Dakis","to be like Dakis","Ma ani kana kari su mgToda di?","怎麼連你所說的話語也都像 Toda 語了呢？","Since when have you speak with a Toda accent?",
"399","takur","0","1","男性名",,,,,"動詞"
"988","kncykani","0","1","反抗；反擊","to fight back","Asi kncykani kari na, kii si ini prana kari.","直接(口語)反擊他，這樣這些話才不會蔓延。",,
"403","epux","1","0","薄的","to be thin","Mangal ku epux na yaku, mangal mknedux ka heya.","我拿薄的，他拿厚的。","I'll take the thin one and he the thick one.","動詞"
"889","bngerux","1","0","五月雨時隨之飛舞的蜉蝣",,"Sntasin bngerux de qmuyux paru ma, egu naq riyung ka kui bngerux skiya duri.","五節芒發芽時會下大雨，也會有很多的蜉蝣  飛舞著。",,"名詞"
"418","ddara","1","0","血液","blood","Ye nnima kanna ddara so ceka dheran na hiya?","他客廳的那些血跡不知道是誰的？","Whose bloodstains in his living room are those?",
"994","dengki","0","1","電；電燈","electricity","Ga hmuwa dengki nii, ma ini hiru di.","這個電燈怎麼了，不會亮了。","What's wrong with the lamp? It doesn't work.","名詞"
"756","pgyaun","0","1","忌諱","to be a taboo","Pgyaun riyung rudan ta ita Seediq ka msterung msdadan ma mshlmadan.","我們賽德克族最忌諱的是近親結婚。","To marry with a close relative is a taboo for us Seediq people.",
"541","smdangi","1","0","做朋友","to make friends","Smdangi riyung yaku ka Lubi Nokan.","Lubi Nokan 把我當作好朋友。","Lubi Nokan treats me like a good friend.",
"990","trqilun","0","1","討厭","to dislike","Kenu trqilun su riyung aji na ka kudamono?","你最討厭哪一種水果的味道？",,"名詞"
"820","qhuni","0","1","樹; 木柴","tree; wood","Malu slungu ka qhuni mdengu mesa tama mu.","我父親說，乾的木柴很好燒。","My dad said that dry wood is easy to be on fire.","名詞"
"856","sqmaun","0","1","燃燒","to burn","Wada sqmaun Umin kanna ka sudu mdengu di.","Umin已經把乾草全燒光了。","Umin has burnt all the dry weeds.",
"1014","hrui","0","1","照(祈使)","to illuminate (imperative)","Hrui tikuh denki han, ini qtai.","開一下燈，看不到。",,
"419","lmiqu","1","0","狩獵","to hunt","Wada lmiqu tama mu daka tama mu rudan.","我爸爸和我祖父去打獵。","My dad and my grandpa are going hunting.","其它"
"464","durun","1","0","祈禱","to pray","Durun isu han!","請你祈禱吧！","Please pray!","動詞"
"908","rudu","1","0","一團一團的濃痰","lumps of phlegm","Ma su ga mseyaq seyaq rudu, Dakis ?","Dakis，你怎麼在咳濃痰？","Dakis, why are you coughing up phlegm?","名詞"
"753","baga","0","2","手","hand","Tpaqi baga da ka na nsupu.","我們一起來拍手吧!","Let's clap hands together.","名詞"
"416","keruc","1","0","鋸","to saw","Keruc btakan ga, scuqi qnedis.","把那竹子鋸掉，太長了。","Saw that bamboo. It is too long.","動詞"
"1000","pixin","0","1","蔥","green onion","Peeyah ta sknuwan mkela mekan pixil ka ita Seediq ?","我們賽德克人是從什麼時候才開始懂得吃蔥類植物？","When have we Seediq started to have green onions as food?","名詞"
"563","yupan","0","1","吹",,"Yupan mu quwaq ka cubu bnaruy laqi ma, bale ini qperuq.","我用嘴吹著孩子們買來的氣球；但那氣球沒破掉。","I blew by mouth the balloon the kids bought; but the ballon didn't blow up.",
"1009","rrei","0","1","浸泡(祈使)","to immerse (imperative); to dip","Rrei soyu mekan!","沾著醬油吃！","Eat it with soy sauce!",
"1008","mering","0","1","汗水","sweat","Kedu ba mering su Takun; hmnuwa su?","Takun，你流好多汗；你怎麼了？","Takun, you are sweating so much! What's wrong with you?","名詞"
"946","Plmukan","0","1","閩南人；平地人","the Min people; plainsman","Gisu ta mpgimax Klmukan meniq saya di.","現在我們已與閩南人混居在一起了。","Nowadays we live with the Min people.","名詞"
"897","nangi","1","0","撒嬌","to act like a spoiled child","Uxe na ngayan bale ka Nangi, tnngayan daha ado ka snnangi riyung.","Nangi不是她的真名，是因她太愛撒嬌而被他們叫做Nangi","Nangi is not her real name; she's named Nangi by them because she always acts like a spoiled child.","動詞"
"424","gemuk","0","1","蓋子",,"Wada namu psaun inu gemuk ribo nii di?","你們把這鍋子的蓋子放到哪裡去了?",,"動詞"
"427","qiri","0","1","纏住；小內割(摔跤用語：側摔)",,"Qiri papak na, ini kbeyax papak na.","用小內割摔他，他的腳沒力量。",,"名詞"
"1093","qango","1","0","跨(步)",,"Qango hini papak su, sdheriq ka btunux gaga.","你的腳要跨到這裡，那塊石頭是滑的。",,"動詞"
"955","inu","0","1","哪裡","where","Maha ku inu mkaxa si tama su?","你爸爸說他後天要去哪裡？",,"其它"
"697","thei","0","1","接受",,"Thei riyung kari rudan ka laqi na Umin, kika qrasun riyung rudan tnsapah na.","Umin的子女很聽從父母（長輩）的話，所以深得家裡長輩的喜愛。","Umin's children are obedient to the parents, thus they are adored by the elders in the family.","動詞"
"996","qlhangi","0","1","使照顧；使看著(祈使)","to look after ; to take care of","Qlhangi tikuh laqi mu nii, maha ku maruy sama.","請幫我照顧一下我的小孩子，我要去買菜。","Please take care of my kid for me; I'm out for buying vegetables.",
"436","dmurun","1","0","祈禱","to pray","Plaale miyan dmurun Tama Baro klaali mekan ido.","我們在吃飯前都會先祈禱。","We'll pray before having the meal.",
"991","trqilun","0","2","討厭","to dislike","Trqilun daha laqi mu, ini daha pspui theyaq.","他們不跟我的孩子一起玩，他們討厭我的孩子。","They won't play with my kid; they dislike my kid.","名詞"
"498","ngungu","1","0","害怕","to fear","Kedu ba ngungu su, Walis, ma su so hari uxe rseno.","Walis，你怎麼那麼怕，好像不是男人。","Walis, you're so afraid that you're not like a man.","動詞"
"774","qmqugu","0","1","雞鳴聲","crow","Qmqugu ka rodux mgrebu de, tutuuy kanna ka tnsapah mu di.","早晨，（公）雞鳴叫時我們全家人都起床了。","We the whole family had already got up when the cock crowed in the morning.","動詞"
