標記內容	宣傳手法	原句	
一 中	ATF	台灣 沒有 統一 中國 的 野心 ，	
一 中	ATF	「 一 中 各 表 」 遭 看破 手腳 ，	
一 中	ATF	即 「 光復 大陸 」 、 「 三民主義 統一 中國 」 的 擁護 者 。	
一 中	ATF	一如 「 同 屬 一 中 」 ，	
一 中	ATF	將 會 使 兩岸 的 倒數 計時器 從 「 一 中 不能 各 表 」 開始 啟動 。	
一 中	ATF	與 中國 簽署 促進 「 一 中 市場 」 的 各 項 協議 ，	
任何 一 個 上軌道 的 國家 絕不 會 允許 在 毫無 討論 、 不准 修正 改良 的 粗暴 過程 中 ，	BW	任何 一 個 上軌道 的 國家 絕不 會 允許 在 毫無 討論 、 不准 修正 改良 的 粗暴 過程 中 ，	
不 是 「 錯覺 」	BWF	國際 媒體 的 報導 應該 不 是 「 錯覺 」 。	
無疑	BWF	無疑 是 影射 蔣介石 的 「 中國 軍閥 鐵蹄 」 蹂躪 台灣 人民 。	
必須	DS	全體 社會 必須 對 馬英九 所 領導 的 政府 與 國民黨 ，	
必須	DS	我們 也 將 呼籲 全體 國人 必須 正視 這 個 最 危機 的 時刻 ，	
必須	DS	那麼 人民 就 必須 站出來 訓令 違法 總統 下台 。	
絕不	DS	馬 政府 依舊 堅稱 服貿協議 絕不 撤回 ，	
必須	DS	但 台灣 人民 必須 嚴肅 提防 ，	
絕不	DS	絕不 在 民意 面前 低頭 ，	
絕非	DS	但 製造 對立 絕非 正常 總統 所 當為 。	
必須	DS	必須 強調 ，	
必須	DS	必須 確實 改革 ，	
絕非	DS	領導人 無能 絕非 國家 之 福 ，	
這 豈不 說明 M 503 航路 對 我國 飛 安 與 國安 確實 存在 威脅 ？	DS	這 豈不 說明 M 503 航路 對 我國 飛 安 與 國安 確實 存在 威脅 ？	
必須	DS	必須 脫胎換骨 ，	
必須	DS	政治力 必須 反映 社會力 ，	
必須	DS	黨意 必須 貼近 民意 。	
必須	DS	必須 國 、 民 兩 個 主要 政黨 堅守 台灣 價值 ，	
必須	DS	朝野 必須 有效 制止 ，	
必須	DS	必須 歸因於 兩 個 錯誤 觀念 。	
必須	DS	馬政府 必須 認清 一 個 殘酷 的 事實 ：	
必須	DS	必須 審慎 以 對 ，	
絕不	DS	英明 的 領導人 絕不 願 為 。	
必須	DS	都 必須 穿著 他 留下來 的 緊身衣 ，	
必須	DS	也 是 國際 涉 外 談判 必須 建構 的 透明化 程序 ，	
絕不	DS	黨權 、 黨產 、 立委 提名 絕不 能 落入 「 非我族類 」 的 手 裡 。	
必須	DS	必須 向 人民 道歉 ，	
必須	DS	這 顯然 是 必須 面對 的 問題 。	
絕非	DS	絕非 請客 吃飯 ，	
必須	DS	必須 看到 ，	
必須	DS	必須 集體 自救 。	
必須	DS	必須 看透 這 種 障眼法 。	
必須	DS	必須 讓 運動 夥伴 乃至 公民 嚴格 檢驗 。	
必須	DS	就 必須 以 民意 為 標準 ，	
必須	DS	必須 強調 ，	
必須	DS	必須 未雨綢繆 ，	
必須	DS	必須 起來 捍衛 我們 的 國家 ，	
必須	DS	必須 妥善 處理 這 個 「 國安 問題 」 ，	
必須	DS	也 就是 必須 遵守 授權 明確性 原則 ，	
必須	DS	所有 行事 必須 在 明確 的 授權 目的 、 內容 、 範圍 之內 ，	
絕不	DS	事實 絕不 是 「 所有 用來 癱瘓 二○一二 民選 政府 的 理由 ，	
必須	DS	台灣 前途 必須 由 二千三百萬 的 台灣 人民 來 決定 ，	
必須	DS	必須 臣服 於 中國 專制 政權 。	
絕不	DS	絕不 可 了解 與 尊重 。	
絕不	DS	嘴巴 說 絕不 會 「 賣台 」 ，	
絕不	DS	也 絕不 鬆手 。	
必須	DS	必須 嚴加 檢驗 的 是 ，	
必須	DS	卻 也 提醒 中國 對 台 必須 亮出 更 有力 的 拳頭 ，	
絕非	DS	絕非 單純 的 自由 市場 交易 ，	
絕不	DS	絕不 可 「 引 清兵 入關 」 ，	
必須	DS	必須 在 打 選戰 的 同時 ，	
必須	DS	未來 的 執政 者 必須 提前 扛 起 責任 ，	
絕不	DS	明年 新 執政 者 絕不 可 重蹈覆轍 ，	
必須	DS	政策 必須 改弦更張 ，	
絕非	DS	否則 當前 困境 絕非 外在 經濟 景氣 回春 所 能 顯著 改變 。	
必須	DS	「 國會 必須 過半 、 選票 不能 分散 」 。	
必須	DS	單一 政黨 必須 過半 才能 改革 ，	
絕非	DS	美 豬 絕非 不能 解決 的 問題 ，	
必須	DS	必須 強調 ，	
必須	DS	必須 放 在 相對 於 「 外來 政權 」 的 脈絡 ，	
絕非	DS	絕非 有效 會議 之 合理 規模 ，	
必須	DS	把 毛澤東 的 「 文藝 為 人民 服務 」 上綱 為 「 官方 媒體 必須 姓黨 」 ；	
必須	DS	必須 強調 ，	
絕不	DS	經貿 絕不 能 背向 中國 ，	
必須	DS	必須 記取 這 眼前 的 教訓 ，	
絕不	DS	新 政府 也 絕不 能 接受 中國 的 要脅 。	
絕非	DS	觀光 旅遊業 鎖進 中國 絕非 發展 正途 ，	
必須	DS	必須 強調 ，	
必須	DS	新 政府 必須 積極 經營 台灣 ，	
必須	DS	必須 強調 ，	
必須	DS	必須 小心 航行 於 民意 氣候 截然 不同於 以往 的 台灣 。	
必須	DS	必須 由 下 而 上 。	
必須	DS	政府 決策 必須 專業化 、 科學化 ，	
必須	DS	必須 強調 ，	
必須	DS	我們 必須 要 讓 自己 成為 不 一樣 的 執政黨 ，	
絕非	DS	絕非 好事 。	
必須	DS	必須 經由 台灣 全體 住民 以 公民 投票 的 方式 決定 」 ，	
絕非	DS	絕非 對 內 欺騙 。	
必須	DS	整理 隊伍 就 必須 交心 表態 。	
必須	DS	特首 人選 必須 「 愛國 愛港 」 ，	
必須	DS	蔡英文 領導 的 政府 必須 認清 選民 的 付託 ，	
絕不	DS	也 絕不 能 重蹈 養癰貽患 的 覆轍 。	
必須	DS	但 也 必須 消極 守勢 與 積極 攻勢 雙管齊下 ，	
絕非	DS	絕非 馬英九 的 主觀 願望 ，	
必須	DS	蔡英文 必須 維持 他 的 現狀 。	
絕非	DS	絕非 停駐 於此 一 路線 上 的 一 個 定點 或 一 個 片段 。	
必須	DS	政黨 與 政治 人物 必須 與時俱進 ，	
必須	DS	國家 總 目標 必須 由 主人 決定 ，	
絕不	DS	也 絕不 可能 基於 北京 的 前提 條件 ，	
必須	DS	國家 前途 的 最終 選擇權 必須 保留 在 人民 手 上 。	
必須	DS	中國 必須 以 文明 方式 處理 李明哲案 ，	
絕不	DS	而 「 屠殺 有理 」 、 「 絕不 平反 」 ，	
絕不	DS	北京 向來 堅持 自己 的 主張 絕不 動搖 ，	
絕不	DS	中國 國民黨 絕不 改名 ，	
必須	DS	必須 設法 做到 貌似 台灣 國民黨 ，	
必須	DS	反 台獨 卻 必須 讓 選民 有 國獨 的 聯想 ，	
必須	DS	必須 注意 。	
必須	DS	賴院長 必須 緊 盯 重大 政策 ，	
必須	DS	挑戰 者 必須 想 一 想 ：	
必須	DS	勞基法 所以 必須 再 翻修 ，	
必須	DS	台灣 社會 必須 要 有 公民 倫理 的 新 自覺 。	
必須	DS	必須 排除 泛政治化 ，	
絕不	DS	絕不 可 效法 對岸 人 臉 辨識 控制 人民 ，	
必須	DS	必須 基於 對 政策 的 周邊 影響 之 全盤 掌握 ，	
必須	DS	勞基法 之所以 必須 一 修 再 修 ，	
必須	DS	反而 必須 另外 兼差 ，	
必須	DS	勞動力 必須 因應 實際 需要 而 調整 ，	
必須	DS	必須 擁有 更多 的 彈性 與 鬆綁 。	
必須	DS	否則 必須 接受 現行 法令 制度 規範 。	
必須	DS	現在 必須 靠 自己 的 翅膀 滑翔 。	
必須	DS	必須 在 相對 脆弱 下 保持 平衡 到達 彼岸 。	
絕非	DS	絕非 毫無 代表性 的 個人 ，	
絕非	DS	社論 》 「 經濟 是 台灣 的 命脈 」 絕非 口頭禪	
必須	DS	乃是 台灣 必須 務實 面對 的 挑戰 。	
絕非	DS	「 經濟 是 台灣 的 命脈 」 絕非 口頭禪 。	
必須	DS	必須 好壞 兩 面 兼 籌 並重 ，	
必須	DS	但 必須 適切 決斷 ，	
必須	DS	必須 具有 承擔 的 勇氣 。	
絕不	DS	「 絕不 容許 中國 武力 犯台 」 ，	
必須	DS	這些 台灣 必須 「 外爭 國權 」 的 中國 威脅 ，	
必須	DS	因為 領有 者 在 本 國 的 權利 與 義務 上 必須 衡平 。	
必須	DS	必須 自問 自答 的 大 問題 。	
絕不	DS	絕不 愚蠢 魯鈍 ，	
絕不	DS	絕不 僥倖 。	
絕非	DS	絕非 莫須有 的 栽贓 ，	
必須	DS	必須 強調 ，	
必須	DS	已然 成為 二○一九 有識之士 必須 團結 克服 的 挑戰 ！	
絕非	DS	絕非 一時 之 念 ，	
必須	DS	必須 強調 ，	
絕不	DS	而且 「 統一 」 絕不 保證 「 和平 」 。	
其 此 之 謂 乎 ？	DT	其 此 之 謂 乎 ？	
難道 是 這樣 的 想法 嗎 ？	DT	難道 是 這樣 的 想法 嗎 ？	
哪來 「 深 自 反省 」 ？	DT	哪來 「 深 自 反省 」 ？	
致命	EXAGGERATION	犯下 諸多 愚蠢 且 致命 的 錯誤 。	
國家 安全	FW	致 令 國家 安全 受到 強大 威脅 。	
國家 安全	FW	種種 這些 影響 國家 安全 的 憂慮 ，	
國家 安全	FW	國家 安全 是 公共 財 ，	
民調	FW	這 也 是 坊間 各 種 民調 都 顯示 ：	
民意	FW	必要 時 重新 談判 的 堅實 民意 所在 。	
民意	FW	這 已經 是 把 民意 當作 糞土 。	
主權	FW	關於 服貿協議 的 辯論 圍繞 著 對於 中國 利用 經濟 進一步 加強 對 台灣 主權 主張 的 憂慮 。	
民意	FW	想 用 公民權 拆掉 這 個 背離 民意 的 政府 ，	
民怨	FW	罔顧 民怨 強推 服貿 ，	
捍衛 民主	FW	既 無以 動搖 學子 捍衛 民主 決心 ，	
民調	FW	政大 新聞 研究所 以 民調 指 九成四 民眾 認同 「 政府 逮捕 審訊 肇事 份子 」 。	
民主 課程	FW	也 讓 台灣 社會 上 了 一 堂 寶貴 的 民主 課程 。	
民意	FW	民意 不 買 馬 黨國 的 帳 。	
民意	FW	選擇 站 在 民意 與 年輕 世代 的 對立面 ，	
民意	FW	導致 立法院 的 生態 向 民意 微調 嗎 ？	
民意	FW	絕不 在 民意 面前 低頭 ，	
民意	FW	必然 會 形成 對 民意 的 霸凌 ，	
公民 覺醒	FW	太陽花 學運 為 代表 的 公民 覺醒 ，	
民意	FW	並 與 民意 站 在 對立面 ，	
民意	FW	正 因 馬英九 與 民意 站 在 對立面 ，	
民意	FW	都 有 廣大 民意 基礎 。	
民調	FW	民調 明白 顯示 ，	
民調	FW	且 明顯 反映 於 民調 ，	
主權	FW	台灣 是 主權 獨立 的 國家 ，	
國安	FW	這 豈不 說明 M 503 航路 對 我國 飛 安 與 國安 確實 存在 威脅 ？	
主權	FW	馬英九 不惜 讓 中國 鯨吞 蠶食 我國 主權 、 國安 ，	
國安	FW	馬英九 不惜 讓 中國 鯨吞 蠶食 我國 主權 、 國安 ，	
公民 覺醒	FW	公民 覺醒 遍 地 開花 。	
民意	FW	面對 民意 ，	
正常 民主 程序	FW	背離 正常 民主 程序 ，	
民主 價值	FW	「 以 民主 之 名 毀滅 民主 價值 」 ，	
民意	FW	中國 國民黨 所 掌控 的 立法院 罔顧 民意 ，	
民意	FW	太陽花 所 激發 的 民意 變革 要求 ，	
民意	FW	其 所 表達 的 要求 政經 社會 變革 沛然 民意 ，	
心聲	FW	主要 政黨 及 政治 領袖 不可 漠視 這 一 人民 求變 求新 求 合理 的 心聲 與 要求 。	
民調	FW	日前 民調 顯示 ，	
民意	FW	能 有效 回應 這 一 廣大 民意 的 政黨 ，	
公眾 支持	FW	才 有 可能 獲得 公眾 支持 ，	
心聲	FW	有如 太陽花 的 代表 歌曲 「 島嶼 天光 」 所 唱出 的 普遍 心聲 與 目標 ，	
民意	FW	馬英九 已 遭 民意 淘汰 ，	
民意	FW	朱立倫 貼近 民意 、 重視 青年 諸多 宣示 ，	
民意	FW	給 人 游離 民意 ，	
民意	FW	而 非 貼近 民意 之 感 ，	
主權	FW	堪稱 「 主權 在 民 」 價值 的 深化 與 鞏固 。	
民意	FW	黨意 必須 貼近 民意 。	
民意	FW	黨意 霸凌 民意 ，	
主義	FW	中國 想 利用 落伍 的 民族 主義 ，	
主義	FW	老共 總是 揮舞 民族 主義 的 大刀 橫衝直撞 ，	
主權	FW	既 矮化 台灣 的 主權 地位 ，	
主義	FW	還 玩弄 民族 主義 ，	
國安	FW	馬英九 親自 召開 國安 高層 會議 ，	
主權	FW	根本 不顧 國家 主權 ，	
主權	FW	還要 讓 主權 ；	
民意	FW	一 個 民選 總統 失去 民意 支持 ，	
民意	FW	他 卻 是 霸凌 民意 倒 向 中國 ！	
民意	FW	跳過 民意 ，	
跳過	FW	跳過 民意 ，	
民意	FW	台灣 的 民意 趨向 與 國家 認同 ，	
民意	FW	目無 民意 ，	
民意	FW	經 此 重大 民意 挫折 ，	
民意	FW	他 漠視 民意 ，	
民意	FW	要求 管控 的 民意 高漲 。	
主權	FW	馬 政府 遇 中國 官員 前來 就 自動 收藏 主權 國家 表徵 ，	
民意	FW	馬英九 悖離 民意 、 心態 不變 ，	
民意	FW	也 漠視 要求 修憲 的 普遍 民意 。	
民意	FW	與 民意 站 在 對立面 的 堅持 依然故我 。	
主權	FW	主權 上 ，	
主權	FW	捍衛 台灣 主權 ，	
民意	FW	民意 基礎 薄 如 紙 的 馬英九 ，	
民意	FW	目前 的 民意 走向 非常 清楚 ，	
主權	FW	不論 主權 、 經濟 ，	
民意	FW	難道 該 黨 對 民意 風向 已經 遲鈍 至 此 ？	
民意	FW	民意 向背 ，	
民意	FW	不 願 面對 民意 的 馬英九 ，	
主權	FW	主權 也 落空 ，	
主權	FW	儘管 他 想盡 辦法 把 台灣 主權 連結 中國 、 台灣 經濟 鎖進 中國 ，	
民意	FW	眼 中 毫無 民意 ，	
民意	FW	明知 民意 向 中國 說 不 ，	
主權	FW	主權 定位 也 黑箱 。	
民意	FW	民意 幾乎 觸底 的 馬英九 ，	
民意	FW	憑甚麼 霸凌 民意 ，	
民意	FW	都 缺乏 民意 基礎 ，	
民意	FW	被 民意 唾棄 ，	
民意	FW	明知 大多數 民意 已 不 信任 他 ，	
國家 安全	FW	中國 也 公布 了 「 國家 安全法 草案 」 ，	
國安	FW	如果 中國 的 「 國安法 」 完成 立法 ，	
民意	FW	馬英九 背離 民意 ，	
民意	FW	一再 宣傳 他 獲得 民意 支持 。	
主權	FW	捍衛 國家 主權 的 總統 ，	
民調	FW	多 家 民調 機構 公布 滿意度 ，	
民調	FW	台灣 指標 民調 結果 ，	
民調	FW	而 本報 民調 也 顯示 ，	
民調	FW	上述 幾 種 民調 ，	
民意	FW	但 民意 滿意度 低迷 又 怎樣 ？	
民意	FW	遂 能 不顧 民意 ，	
民意	FW	馬意霸凌 民意 ，	
主權	FW	以 體現 主權 在 民 ，	
民意	FW	他 還 「 反擊 」 對 他 高度 不滿 的 民意 說 ：	
民意	FW	堪稱 一 位 目 無 民意 的 總統 ，	
主權	FW	更 不顧 主權 尊嚴 ，	
主權	FW	要 把 台灣 主權 融入 中國 ，	
民意	FW	他 的 所作所為 完全 與 民意 對作 。	
