LL	伎倆	當局 只 剩 消耗戰 和 黑道 恐嚇 的 伎倆 。
LL	毀壞	當 民選 政府 已經 毀壞 民主 機制 時 ，
X		照 著 島嶼 每 一 個人 。
X		概 由 馬英九 負責 。
LL	暗潮	暗潮 比 浪花 還 多 。
X		暗潮 比 浪花 還 多 。
X		新疆 、 西藏 、 香港 ，
X		意外 衝進 國會 殿堂 ，
X		愈來愈 多 退伍 將校 遭 中國 吸收 ，
X		愈 是 遭逢 批評 聲浪 就 愈 是 死守 兩 個 基本 點 ：
NCL	背離 民意 的 政府	想 用 公民權 拆掉 這 個 背離 民意 的 政府 ，
HA	天安門 事件	幹出 「 台灣版 天安門 事件 」 ，
NCL	「 台灣版 天安門 事件 」	幹出 「 台灣版 天安門 事件 」 ，
NCL	傾中 政策	傾中 政策 導致 利益 落入 政商 權貴 買辦 ，
LL	傷害	傷害 社會 正義 ，
ATA	傳統 基金會	傳統 基金會 資深 研究員 威爾遜 （ William T . Wilson ） 的 「 經濟 傾斜 、 台灣 命運 操 諸 中國 政治 決定 」 ，
X		傳統 基金會 資深 研究員 威爾遜 （ William T . Wilson ） 的 「 經濟 傾斜 、 台灣 命運 操 諸 中國 政治 決定 」 ，
X		進行 鬆綁 與 自由化 改革 ，
X		進一步 評比 ，
X		華爾街日報 未加 體察 ，
ATA	華爾街日報	華爾街日報 上 週 以 「 台灣 自甘 落後 」 （ Taiwan Leaves Itself Behind ） 為題 ，
X		給 中國 藉由 廣告 分配 的 機會 控制 台灣 媒體 ，
X		絕不 在 民意 面前 低頭 ，
X		結果 ，
TTC	答案 當然 是 否定 的	答案 當然 是 否定 的 ，
X		硬 在 去年 六月 由 海基 、 海協 兩 會 逕行 「 畫押 」 的 服貿 協議 ，
LL	無比 威力	發揮 了 網路 世代 全球 連結 的 無比 威力 ，
X		發揮 了 網路 世代 全球 連結 的 無比 威力 ，
X		然而 ，
X		然而 ，
NCL	「 中國 軍閥 鐵蹄 」	無疑 是 影射 蔣介石 的 「 中國 軍閥 鐵蹄 」 蹂躪 台灣 人民 。
LL	蹂躪	無疑 是 影射 蔣介石 的 「 中國 軍閥 鐵蹄 」 蹂躪 台灣 人民 。
X		無 程序 正義 即 無 實質 正義 ，
X		港星 杜汶澤 在 臉 書 為 學生 加油 ，
LL	奮起	港人 乃 奮起 抵抗 。
X		最終 任 其 掌控 。
LL	中肯	最為 中肯 。
LL	行動 暴力	最後 化 語言 暴力 為 行動 暴力 。
X		最 值得 處境 未必 優於 香港 的 台灣 人民 在 聲援 義助 之 際 ，
LL	言行 不一	最 是 言行 不一 。
LL	反感 	最 令 人 反感 的 ，
X		普遍 多 為 中小型 企業 ，
LL	揭露	揭露 、 反擊 、 破解 了 過氣 不實 的 黨國 輿論 製造術 。
LL	破解	揭露 、 反擊 、 破解 了 過氣 不實 的 黨國 輿論 製造術 。
LL	不實	揭露 、 反擊 、 破解 了 過氣 不實 的 黨國 輿論 製造術 。
X		揭露 、 反擊 、 破解 了 過氣 不實 的 黨國 輿論 製造術 。
X		換來 夏 立言 與 張志軍 可望 在 四月 舉行 「 夏張會 」 。
X		換言之 ，
X		換言之 ，
X		換言之 ，
X		揚言 若 修改 服貿 協議 ，
NCL	不 適格 不 適任 者	提名 那些 不 適格 不 適任 者 的 馬英九 ，
LL	嚴厲	提出 最 嚴厲 的 抗議 與 譴責 ；
LL	譴責	提出 最 嚴厲 的 抗議 與 譴責 ；
X		提出 三 大 訴求 ︰ 「 監督 條例 要 確實 」 、 「 憲政 改革 要 啟動 」 、 「 貨貿 談判 要 停止 ，
X		幾 年 後 又 是 一 條 好漢 ，
NCL	明日 台灣 」	就是 明日 台灣 」 。
X		就是 明日 台灣 」 ，
X		就是 今日 台灣 」 。
X		就此 而 言 ，
X		就 問題 本質 論 ，
X		就 兩岸 服務 貿易 協議 議題 對話 」 ，
X		就 有 責任 再 多 說 幾 次 」 ，
X		報章
X		報章
X		報章
X		報章
X		報章
X		報章
X		報章
X		報章
X		堪稱 國內外 同 獲 認證 。
X		都 屬 「 台獨 份子 」 ；
NCL	這 個 「 自絕 於 國人 」 的 政府	都 被 這 個 「 自絕 於 國人 」 的 政府 冠上 無知 、 鎖國 、 不 理性 、 引起 不安 等 帽子 。
X		都 是 國民黨 最 重要 的 議題 ；
LL	惡果	都 是 其 惡果 。
LL	一針見血	都 是 一針見血 的 警告 。
FW	民意 基礎	都 有 廣大 民意 基礎 。
X		都 有 不少 回響 ，
X		都 因 馬 主席 而 起 。
X		連日 來 ，
LL	向 中國 靠攏	連 認同 都 已經 向 中國 靠攏 了 。
LL	圍 事	連 黑道 都 出動 圍 事 。
X		連 國民黨 立委 也 難以 力 挺 到底 。
LL	落伍	連 民進黨 都 顯得 相對 落伍 了 ，
X		通訊 服務業 開放給 中國 ，
X		這樣 的 心態 跟 北京 領導人 不相上下 ，
LL	怵目驚心	這些 看 得到 的 已經 夠 怵目驚心 了 ，
X		這 種 戰場 不 在 立法院 ，
LL	傲慢	這 就 叫做 權力 的 傲慢 ，
X	流血	這 場 流血 「 暴鎮 」 ，
X		這 場 流血 「 暴鎮 」 ，
PS	這 豈不 說明 M 503 航路 對 我國 飛 安 與 國安 確實 存在 威脅 ？	這 豈不 說明 M 503 航路 對 我國 飛 安 與 國安 確實 存在 威脅 ？
X		這 豈不 說明 M 503 航路 對 我國 飛 安 與 國安 確實 存在 威脅 ？
LL	國民黨 「 暴政 」	這 根本 是 國民黨 「 暴政 」 下 的 「 暴鎮 」 ！
NCL	中國黨	這 恐怕 是 國 共 兩 個 中國黨 始 料 所 未及 的 事 。
LL	跳針式 喊話	這 個人 繼續 貌似 誠懇 地 做 跳針式 喊話 ，
LL	軟土 深 掘	這 個 政府 軟土 深 掘 ，
LL	蠻幹	這 個 政府 在 蠻幹 之餘 ，
X		這 個 政府 在 蠻幹 之餘 ，
X		這 個 政府 已經 失去 了 繼續 治理 的 正當性 ，
LL	危機	這 是 台灣 民主 最 大 危機 。
X		這 是 台灣 民主 最 大 危機 。
NCL	長期 關心 台灣 的 專家	這 位 長期 關心 台灣 的 專家 所 說 的 ，
ATA	長期 關心 台灣 的 專家	這 位 長期 關心 台灣 的 專家 所 說 的 ，
NCL	九 趴 總統	這 位 九 趴 總統 會不會 像 亞努科維奇 那樣 「 引 清兵 入關 」 。
X	引 清兵 入關	這 位 九 趴 總統 會不會 像 亞努科維奇 那樣 「 引 清兵 入關 」 。
X		這 次 高雄 氣爆 ，
PS	這 叫 甚麼 ？	這 叫 甚麼 ？
LL	一廂情願	這 不但 一廂情願 ，
X		這 不但 一廂情願 ，
LL	糞土	這 已經 是 把 民意 當作 糞土 。
X		這 已經 是 把 民意 當作 糞土 。
X		這 也 是 坊間 各 種 民調 都 顯示 ：
PS	貧富 差距 會 持續 擴大 嗎 ？	貧富 差距 會 持續 擴大 嗎 ？
X		貧富 差距 會 持續 擴大 嗎 ？
LL	慷慨 陳詞	被告 慷慨 陳詞 ，
LL	轉捩點	被 視為 威權 體制 走向 解體 、 台灣 加速 民主化 的 轉捩點 。
LL	咎由自取	被 刷掉 的 十一 人 固然 咎由自取 ，
X	咎由自取	被 刷掉 的 十一 人 固然 咎由自取 ，
X		被 台北 地院 無 保 請回 的 學生 魏揚 ，
X		竟然 得到 行政院 「 感謝 辛勞 」 ，
X		竟然 尚未 改善 軍 中 人權 ，
X		竟然 使用 「 報告 長官 」 的 措辭 ；
PS	竟	竟 僅 遭 判刑 一 年 兩 個 月 定讞 ，
PS	竟	竟 開放 了 一些 不 該 開放 的 項目 給 中國 ，
TTC	眾所周知 ，	眾所周知 ，
X	眾所周知	眾所周知 ，
X		產業 競爭力 提升 及 結構 調整 才 是 關鍵 ，
X		理應 觀照 全 局 ，
X		現在 馬英九 不顧 高雄市 氣爆 、 南 台灣 豪雨 成 災 也 要 趕工 「 鋪路 」 。
LL	毫不 在意 。	毫不 在意 。
X		毫不 在意 。
LL	唯命是從	梁振英 對 中國 當局 唯命是從 ，
LL	羅織 罪名	接下來 是 羅織 罪名 的 司法 程序 。
X	改革	掀起 改革 風潮 ，
LL	情何以堪 。	情何以堪 。
X	情何以堪	情何以堪 。
X		從來 都 只 能 靠 當地人 絕地 抗命 」 ，
X		從而 ，
X		從而 ，
X		從而 ，
NCL	「 公民 不 服從 運動 」	從 這 一 「 公民 不 服從 運動 」 相關 各 方 的 反應 看來 ，
X		從 這 一 「 公民 不 服從 運動 」 相關 各 方 的 反應 看來 ，
X		從 馬英九 的 言行 看 ，
X		從 美麗島 事件 看 如今 學運 ，
NCL	鳥籠 公投	從 打破 最 受 詬病 的 鳥籠 公投 限制 ，
X		從 打破 最 受 詬病 的 鳥籠 公投 限制 ，
X		從 二○○九年 的 八八 水災 到 今年 的 八一 高雄 氣爆 ，
X		從 「 終極 統一 」 來 看 台灣 ，
X		從 「 張慶忠 的 三十 秒 」 刺激 學生 佔領 立法院 議場 以來 ，
LL	強推 	強推 服貿 ，
X		強推 服貿 ，
X		強化 產業 競爭力 與 結構 ，
X	「 改變成 真 」	帶領 台灣 邁向 「 改變成 真 」 新 境界 。
LL	盜取	將 衍生 我國 人民 個 資 被 盜取 ，
LL	險境 ，	將 人民 直接 曝 於 險境 ，
LL	惡評	國際 惡評 、 抗議 連署 、 罷課 風潮 方興未艾 。
X		國際 惡評 、 抗議 連署 、 罷課 風潮 方興未艾 。
ATA	國際 媒體	國際 媒體 的 報導 應該 不 是 「 錯覺 」 。
LL	 譴責	國際 媒體 也 嚴厲 譴責 。
X	譴責	國際 媒體 也 嚴厲 譴責 。
X		國際 空間 縮小 ，
LL	逆來順受	國家 的 主人 逆來順受 就 會 淪為 僕人 。
LL	淪為	國家 的 主人 逆來順受 就 會 淪為 僕人 。
FW	國家 安全	國家 安全 是 公共 財 ，
X		國防部 表示 全程 掌握 ，
LL	崩盤	國民黨 選舉 崩盤 主席 換人 ，
X		國民黨 立院 黨團 書記長 費鴻泰 昨日 表示 ，
LL	撕毀	國民黨 立院 黨團 承 命 在 國會 撕毀 朝野 協商 達成 必須 逐條 審查 、 逐條 表決 的 共識 ，
X		國民黨 主席 朱立倫 宣稱 ，
X		國人 記憶猶新 。
X		商人王 又 曾 捐款 一百萬 元 致敬 ，
X		唯 其 如此 ，
X		參與 者 都 是 「 陰謀 暴力 份子 」 。
X		停刊號 社論 高呼 「 大江東 流 擋不住 」 。
X		高雄 氣爆 市民 要 自救 ，
X		馬英九心 不 在 此 也 志不在此 。
X		馬英九 還 在 怪罪 學運 妨礙 黑箱 服貿 ，
X		馬英九 總統 在 三一八 這 一 天 卻 跳過 這 一 重點 ，
X		馬英九 總統 本 週一 在 為 高雄 氣爆 的 記者會 ，
LL	獨沽 中國 一味	馬英九 獨沽 中國 一味 ，
X		馬英九 就是 要 貫徹 他 的 權力 ，
LL	「 無能 」	馬英九 就是 「 無能 」 ，
X		馬英九 單挑 華爾街日報 這 一 社論 高談闊論 ，
LL	強推	馬英九 強推馬英九 強推黑 箱 服 貿 ， ，
LL	黑 箱 	馬英九 強推馬英九 強推黑 箱 服 貿 ， ，
X		馬英九 針對 高雄 氣爆 事件 召開 記者會 ，
X		馬英九 拿 亞洲 華爾街日報 的 社論 為 自己 撐腰 。
NCL	馬英九 們 ，	馬英九 們 ，
LL	日薄西山	馬英九 政權 日薄西山 ，
LL	沾沾自喜	馬英九 政府 沾沾自喜 的 觀光客 成長 ，
X		馬英九 的 談話 ，
X		馬英九 的 處境 類似 烏克蘭 落跑 總統 亞努科維奇 。
X		馬英九 的 心 中 只有 服貿 、 自 經 區 ，
X		馬英九 爭分奪秒 地 為 「 終極 統一 」 鋪路 。
LL	騙局	馬英九 自己 拆穿 了 「 以 台灣 為主 、 對 人民 有利 」 的 騙局 。
LL	被迫	馬英九 因之 被迫 辭去 黨主席 ，
LL	「 獨裁 」	馬英九 之所以 能 「 獨裁 」 ，
LL	鯨吞 	馬英九 不惜 讓 中國 鯨吞 蠶食 我國 主權 、 國安 ，
FW	主權	馬英九 不惜 讓 中國 鯨吞 蠶食 我國 主權 、 國安 ，
PS	馬英九 不 也 是 如此 心態 嗎 ？	馬英九 不 也 是 如此 心態 嗎 ？
LL	偷渡	馬政府 的 高官 仍 不惜 以 偷渡 方式 繼續 其 對 中國 門戶 洞開 的 作為 。
LL	門戶 洞開	馬政府 的 高官 仍 不惜 以 偷渡 方式 繼續 其 對 中國 門戶 洞開 的 作為 。
X		馬政府 仍 執意 第十 輪 談判 最近 在 中國 進行 。
NCL	馬 黨國 老狗	馬 黨國 老狗 變 不 出新 把戲 ，
X		馬 黨國 老狗 變 不 出新 把戲 ，
X		馬 政府 對付 學生 的 手法 ，
X		馬 政府 現在 顯然 在 用 「 先 鎮 後 拖 」 策略 ，
LL	冥頑不靈	馬 政府 冥頑不靈 ，
X	冥頑不靈	馬 政府 冥頑不靈 ，
X		馬 政府 的 文官 ，
X		馬 政府 依舊 堅稱 服貿協議 絕不 撤回 ，
X		馬 政府 把 攻佔 國會 定位為 強佔 公署 的 非法 行為 ，
LL	交叉 感染	馬 政府 已經 交叉 感染 了 國民黨 威權 遺毒 與 共產黨 專政 遺毒 ，
LL	遺毒	馬 政府 已經 交叉 感染 了 國民黨 威權 遺毒 與 共產黨 專政 遺毒 ，
X	遺毒	馬 政府 已經 交叉 感染 了 國民黨 威權 遺毒 與 共產黨 專政 遺毒 ，
LL	權力 的 傲慢	除了 權力 的 傲慢 ，
X		除了 權力 的 傲慢 ，
X		除了 宣稱 軍警 「 打 不 還手 、 罵 不 還口 」 ，
X		除了 兩岸 監督 條例 ，
X		財經 首長 賣力 演出 ，
X		航空器 租賃業 開放給 中國 ，
LL	可笑	真是 可笑 ，
X	可笑	真是 可笑 ，
LL	清新 	特別 是 年輕 一 代 的 清新 理想 朝氣 ，
X	理想 	特別 是 年輕 一 代 的 清新 理想 朝氣 ，
ATA	鄭秀玲	根據 鄭秀玲 整理 的 項目 不 對等 對照表 中 ，
X		根據 鄭秀玲 整理 的 項目 不 對等 對照表 中 ，
X		時代 已經 不 一樣 ，
X		效應 擴大 ，
X	共鳴	恐怕 更 能 獲得 共鳴 吧 。
X		恐怕 更 能 獲得 共鳴 吧 。
LL	宰殺	宰殺 所有 產業 ，
DT	哪來 「 深 自 反省 」 ？	哪來 「 深 自 反省 」 ？
X		哪來 「 深 自 反省 」 ？
LL	剝奪	剝奪 了 人民 表意 的 自由 ，
X		剝奪 了 人民 表意 的 自由 ，
X		剛好 被 馬英九 引為 大作 文章 的 題材 。
ATA	華爾街日報	剛 過 一百二十五 年 社慶 的 華爾街日報 ，
LL	衝突	香港人 與 中國客 的 衝突 不斷 ，
X		香港人 與 中國客 的 衝突 不斷 ，
X		香港人 爭 真 普選 ，
X		香港 學聯 強調 ，
LL	專制	香港 不甘 被 關入 專制 牢籠 ，
LL	牢籠	香港 不甘 被 關入 專制 牢籠 ，
X		香港 十七 年前 從 英國 殖民地 回歸 中華 「 人民 」 共和國 ，
X		香港 人民 到 今天 卻 仍 無緣 當家 做主 ，
X		首席 談判 代表 張 顯耀 有 洩密 甚至 共諜 之 嫌 ！
X		面對 黨 內 ，
X		面對 民意 ，
X		面對 中國 ，
X		限縮 國際 空間 。
X		軍官 共諜 層級 上升 ，
X		要求 補正 公投法 、 修改 選罷法 ，
X		要 選 院轄市 長者 ，
X		要 談 國際 媒體 ，
X		要 決定 港人 命運 ；
X		要 克 竟 其 功 ，
ATA	經濟 學人 雜誌	英國 經濟 學人 雜誌 稱 馬英九 「 無能 」 ，
X		若 不當 一 回 事 嚴肅 以 對 ，
FW	國家 安全 	致 令 國家 安全 受到 強大 威脅 。
LL	背離 	背離 正常 民主 程序 ，
FW	正常 民主 程序	背離 正常 民主 程序 ，
NCL	紅頂 商人	紅頂 商人 對 中國 官員 哈腰 諂媚 的 場面 從 北京 演 到 台北 ，
LL	諂媚	紅頂 商人 對 中國 官員 哈腰 諂媚 的 場面 從 北京 演 到 台北 ，
X		約 可 領取 八 、 九萬 元 。
X		相形之下 ，
LL	恐嚇	甚至 動員 利益 共同體 的 企業 來 恐嚇 人民 ；
X		甚至 內鬨 ，
X		為了 求取 中國 以 馬 政府 為 談判 對手 ，
NCL	黨 外 精英	為 配合 一網打盡 黨 外 精英 ，
X		為 事件 定性 之後 ，
LL	黑箱	為 抗議 馬政府 服貿 協議 黑箱 作業 ，
NCL	「 天龍國 」	洗去 「 天龍國 」 污名 ，
X		柯政盛 等 輕 判 ，
X	柯 Ｐ	柯 Ｐ 要 大家 「 不忘 太陽花 精神 」 ，
PS	是否 如 國民 黨團 宣稱 的 「 視為 已 審查 」 ？	是否 如 國民 黨團 宣稱 的 「 視為 已 審查 」 ？
X		是 具 國際 影響力 的 報紙 ，
LL	卑躬屈膝	是 他 對 中國 的 卑躬屈膝 ，
X		昨天 開始 ，
X		昨天 ，
X		既然 如此 ，
FW	捍衛 民主	既 無以 動搖 學子 捍衛 民主 決心 ，
X		既 由 美國 主導 ，
X		政媒商 聯手 反制 輿論 ，
X		政大 新聞 研究所 以 民調 指 九成四 民眾 認同 「 政府 逮捕 審訊 肇事 份子 」 。
X		指責 「 暴力 邊緣 」 的 主張 和 行動 ，
X		指 學運 受 民進黨 指使 。
X		恰巧 ，
X		急 高雄 所 急 全力 救災 重建
ATA	威爾遜	威爾遜 建議 美國 政府 以 實際 行動 促進 台灣 加入 ＴＰＰ ，
X		哀求 「 不要 再 打 了 ！
LL	自我 吞噬	卻 讓 馬英九 的 黨國 權勢 走向 自我 吞噬 。
X		卻 輸 了 台灣 」 。
LL	賠上	卻 賠上 專業 形象 。
X	樂於	卻 樂於 與 國際 接軌 。
LL	暴力 	卻 對 國家 暴力 閉口 不 談 。
X		卻 借題發揮 ，
X		卻 故意 無 所 作為 的 裡應外合 。
LL	自恃	卻 自恃 曾 受 多數 選民 付託 ，
LL	粗糙 	卻 在 政府 粗糙 輕忽 的 態度 中 ，
X	粗糙	卻 在 政府 粗糙 輕忽 的 態度 中 ，
HA	美麗島 事件	卻 仍 如 三十多 年前 美麗島 事件 的 翻版 。
X	三十多 年前 美麗島 事件 的 翻版	卻 仍 如 三十多 年前 美麗島 事件 的 翻版 。
X		卻 大 談 兩岸 經貿 合作 及 服貿 協議 。
X		卻 又 高唱 「 我們 永遠 是 一家人 」 ，
X		南韓 與 中國 要 簽訂 ＦＴＡ ，
X		南韓 出口 超越 台灣 ，
X		前天 記者會 ，
X		前 海軍 中將 柯政盛 遭 中國 吸收為 共諜 ，
LL	覺醒	促使 愈來愈 多 人民 覺醒 ，
X		促使 愈來愈 多 人民 覺醒 ，
LL	挺身而出	青年 學生 與 公民 挺身而出 ，
LL	害 台	阻擋 這 種 新 型態 的 「 無 作為 」 害 台 。
LL	門戶 洞開 ，	門戶 洞開 ，
X		門戶 洞開 ，
X		近年 ，
X	熱愛	表現 對 斯 土 斯 民 的 熱愛 、 對 民主 自由 的 堅持 ，
X	 堅持	表現 對 斯 土 斯 民 的 熱愛 、 對 民主 自由 的 堅持 ，
NCL	「 婉君 」	表面 上 雖 嘗試 向 「 婉君 」 靠攏 ，
LL	罔顧	罔顧 事實 ，
LL	罔顧 	罔顧 民怨 強推 服貿 ，
X		罔顧 民怨 強推 服貿 ，
LL	粗糙 	社論 ─ 粗糙 ． 粗暴 ． 蠻橫 ． 愚蠢
LL	粗暴 	社論 ─ 粗糙 ． 粗暴 ． 蠻橫 ． 愚蠢
LL	愚蠢	社論 ─ 粗糙 ． 粗暴 ． 蠻橫 ． 愚蠢
LL	「 改變成 真 」	社論 》 太陽花 開啟 了 「 改變成 真 」 新 境界
X		社論 》 小心 贏得 二○一六 輸掉 台灣
X		社會 也 不再 是 媒體 壟斷 的 年代 ，
X	 矚目	直 令 全球 矚目 。
X		法官 也 非 當年 軍法 體制 那般 聽命 ，
X		況且 韓 中 是 國 與 國 關係 ，
LL	蕩然無存	武德 蕩然無存 ，
PS	武官 還 怕 甚麼 ？	武官 還 怕 甚麼 ？
X		果真如此 ，
X		林中森 見到 中國 領導 ，
LL	杯葛	杯葛 與 重要 經貿 夥伴 簽署 ＦＴＡ ，
X		服貿協議 是 中台 一體 化 的 最後 一 塊 巨大 鋪路 石 ，
X		服貿 懷有 輕易 可 拆穿 的 政治 意圖 ，
X		服貿 協議 卻 沿用 了 這 不 對等 的 身分 在 洽談 ，
X		服貿 協議 及 兩岸 協議 監督 條例 的 爭議 ，
X		服貿 自 經 別 偷渡 」 ；
